名称,标签,地址,简介,图片URL,详情页
蛋黄酥,烘烤类,东四北大街126号,蛋黄酥是常见的传统特色小吃。就跟苏式月饼的做法有很多共通之处。传统的蛋黄酥用的是猪油，直接用的黄油，就除去了熬猪油的麻烦。,https://r1.visitbeijing.com.cn/vbj-s/2017/0510/20170510025312351.jpg,https://s.visitbeijing.com.cn/food/393
海苔小贝,烘烤类,—,海苔小贝顾名思义实在蛋糕里加入海苔，蛋糕以海苔的微咸、鲜美为主，奶香味则侧之。,https://r1.visitbeijing.com.cn/vbj-s/2017/0510/20170510023816500.jpg,https://s.visitbeijing.com.cn/food/392
紫菜蛋糕,烘烤类,东四北大街126号,紫菜蛋糕是一道以海苔为主要食材制作的美食。,https://r1.visitbeijing.com.cn/vbj-s/2017/0510/20170510023636776.jpg,https://s.visitbeijing.com.cn/food/391
泡芙,甜品类,—,泡芙（puff）是一种源自意大利的甜食。蓬松张空的奶油面皮中包裹着奶油、巧克力乃至冰淇淋。,https://r1.visitbeijing.com.cn/vbj-s/2017/0510/20170510023120824.jpg,https://s.visitbeijing.com.cn/food/390
芝麻片,烘烤类,—,"麻片是传统小食品之一,历史悠久。成品为小方块,色泽乳白,质地细密,松脆爽口、甜香宜人。其特点为选料细致，制作认真，产品规格、组织、口味均臻于上乘。",https://r1.visitbeijing.com.cn/vbj-s/2017/0510/20170510022850973.jpg,https://s.visitbeijing.com.cn/food/389
猪肉松蛋糕,烘烤类,—,猪肉松蛋糕是指在蛋糕的基础上，添加肉松作为辅料而做成的蛋糕。,https://r1.visitbeijing.com.cn/vbj-s/2017/0510/20170510022515407.jpg,https://s.visitbeijing.com.cn/food/388
绿豆酥,甜品类,—,绿豆酥是传统名点之一，最早发源于广东潮汕地区。,https://r1.visitbeijing.com.cn/vbj-s/2017/0510/20170510022315752.jpg,https://s.visitbeijing.com.cn/food/387
豆沙酥,烘烤类,东四北大街126号,香甜小吃。内含豆沙馅的小吃甜点。深受广大人民喜爱。,https://r1.visitbeijing.com.cn/vbj-s/2017/0510/20170510020552430.jpg,https://s.visitbeijing.com.cn/food/386
肉松面包,烘烤类,—,肉松面包，即在面包上加上肉松或加入肉松做内馅制成的包点。肉松是我国著名特产之一，用猪的瘦肉或鱼肉、鸡肉除去水分后而制成，因其质地疏松而得其名。,https://r1.visitbeijing.com.cn/vbj-s/2017/0510/20170510020409367.jpg,https://s.visitbeijing.com.cn/food/385
肉松莲蓉饼,烘烤类,—,饼皮金黄，酥软细腻，莲蓉内馅，口感细腻香甜诱人，酥松不油。,https://r1.visitbeijing.com.cn/vbj-s/2017/0510/20170510020030844.jpg,https://s.visitbeijing.com.cn/food/384
鸡蛋酥,烘烤类,—,鸡蛋酥主要特点是香、酥、脆，由鸡蛋、白糖、生粉等做成的糕点，制作方法简单，能量充足适合作为早餐食用。,https://r1.visitbeijing.com.cn/vbj-s/2017/0510/20170510015227554.jpg,https://s.visitbeijing.com.cn/food/383
扁桃仁,甜品类,—,精选优质果实，采用先进工艺制作，拒绝过度加工和添加，还原果实原香。稻香村扁桃仁，颗颗入味，口感爆棚。,https://r1.visitbeijing.com.cn/vbj-s/2017/0428/20170428051616390.jpg,https://s.visitbeijing.com.cn/food/382
巴旦木,甜品类,—,精选优质果实，采用先进工艺制作，拒绝过度加工和添加，还原果实原香。稻香村巴旦木，开口大易剥取。入口香酥滑嫩，醇香四溢。,https://r1.visitbeijing.com.cn/vbj-s/2017/0428/20170428051206786.jpg,https://s.visitbeijing.com.cn/food/381
夏威夷果,甜品类,—,精选优质果实，采用先进工艺制作，拒绝过度加工和添加，还原果实原香。稻香村夏威夷果，开口大易剥取。入口滑嫩，奶香四溢。,https://r1.visitbeijing.com.cn/vbj-s/2017/0428/20170428045745269.jpg,https://s.visitbeijing.com.cn/food/380
紫薯花生,甜品类,—,精选优质果实，采用先进工艺制作，拒绝过度加工和添加，还原果实原香。稻香村紫薯花生，自然健康，花生入口醇香，轻轻咀嚼，伴随清脆响声，醇香四溢。,https://r1.visitbeijing.com.cn/vbj-s/2017/0428/20170428045459252.jpg,https://s.visitbeijing.com.cn/food/379
江米条,甜品类,东四北大街126号,稻香村艾江米条，经典传统美食。精选优质高质原料，传统工艺制作，经典传统两种口味，口感酥脆、香甜可口。,https://r1.visitbeijing.com.cn/vbj-s/2017/0428/20170428043324443.jpg,https://s.visitbeijing.com.cn/food/378
小麻花,甜品类,东四北大街126号,稻香村小麻花，经典传统美食。精选优质高质原料，传统工艺制作，葱油咸味、芝麻甜味两种口味，入口酥脆香甜。,https://r1.visitbeijing.com.cn/vbj-s/2017/0428/20170428042339976.jpg,https://s.visitbeijing.com.cn/food/377
状元饼,甜品类,东四北大街126号,酥松饼皮内含醇厚枣泥馅，皮馅均匀，具有浓郁的枣香味，甜美浓郁，爱不释手。,https://r1.visitbeijing.com.cn/vbj-s/2017/0428/20170428035306241.jpg,https://s.visitbeijing.com.cn/food/376
枣泥酥,甜品类,东四北大街126号,枣泥酥是用油酥面作皮，黑枣泥为馅，经油炸成熟的面食。其色泽金黄，小巧玲珑，外皮酥松，馅香甜可口。,https://r1.visitbeijing.com.cn/vbj-s/2017/0428/20170428034709273.jpg,https://s.visitbeijing.com.cn/food/375
杏蓉饼,甜品类,东四北大街126号,饼皮呈金黄，华美的菱形网纹，包裹香醇杏蓉内馅，皮馅分明。馅心色泽通透，口感酥松，有浓浓杏仁香。,https://r1.visitbeijing.com.cn/vbj-s/2017/0428/20170428034008443.jpg,https://s.visitbeijing.com.cn/food/374
香芋饼,甜品类,东四北大街126号,饼皮金黄，酥软细腻，香芋内馅，口感细腻香甜诱人，酥松不油，混以淡淡香芋香味，品食后让人流连忘返。,https://r1.visitbeijing.com.cn/vbj-s/2017/0428/20170428033532145.jpg,https://s.visitbeijing.com.cn/food/373
山楂锅盔,甜品类,东四北大街126号,形似锅盔，馅皮酥松，内如金糕，色泽通透、酸甜可口，疏松软糯，轻轻咬上一口便叫人欲罢不能、回味无穷！,https://r1.visitbeijing.com.cn/vbj-s/2017/0428/20170428033106879.jpg,https://s.visitbeijing.com.cn/food/372
南瓜饼,甜品类,东四北大街126号,饼皮金黄，南瓜内馅金黄绵密，独特而浓郁奶香，混以淡淡的南瓜清香，口感细腻香甜。酥松不油，唇齿留香。,https://r1.visitbeijing.com.cn/vbj-s/2017/0428/20170428032305766.jpg,https://s.visitbeijing.com.cn/food/371
墨子酥,甜品类,东四北大街126号,形如金砖，色泽乌亮。饼体细腻有亮泽，馅心为无蔗糖黑芝麻馅，口感酥松细腻，具有浓郁黑麻香味。,https://r1.visitbeijing.com.cn/vbj-s/2017/0428/20170428031845973.jpg,https://s.visitbeijing.com.cn/food/370
